bbl,block,lot,bin,hnum_lo,hnum_hi,str_name,condo_no,coop_no
1008710056,871,56,1017812,126,128,EAST 16 STREET,N/A,1024
1009030057,903,57,1082134,202,202,EAST 23 STREET,N/A,N/A
1008790017,879,17,1018040,131,133,EAST 23 STREET,N/A,N/A
1009010058,901,58,1082127,255,255,3 AVENUE,N/A,N/A
1008730040,873,40,1017857,196,202,3 AVENUE,N/A,N/A
1009230055,923,55,1020454,316,316,EAST 18 STREET,N/A,N/A
1008750038,875,38,1017926,147,149,EAST 19 STREET,N/A,1038
1008810063,881,63,1018120,73,73,LEXINGTON AVENUE,N/A,N/A
1009210027,921,27,1082156,241,241,1 AVENUE,N/A,N/A
1009240039,924,39,1020493,352,352,EAST 19 STREET,N/A,N/A
1009037501,903,7501,1019668,289,291,3 AVENUE,127,N/A
1008980009,898,9,1019554,209,209,EAST 17 STREET,N/A,N/A
1009270025,927,25,1020553,361,361,1 AVENUE,N/A,N/A
1008990037,899,37,1019593,238,238,EAST 19 STREET,N/A,N/A
1008740028,874,28,1017876,139,139,EAST 18 STREET,N/A,N/A
1009270015,927,15,1077013,323,323,EAST 21 STREET,N/A,1178
1009210046,921,46,1020411,332,334,EAST 15 STREET,N/A,N/A
1009250046,925,46,1020531,342,342,EAST 20 STREET,N/A,N/A
1009280023,928,23,1020574,341,341,EAST 22 STREET,N/A,N/A
1008830018,883,18,1018165,129,129,EAST 27 STREET,N/A,N/A
1009040050,904,50,1019782,309,319,3 AVENUE,N/A,1138
1008820028,882,28,1018132,85,95,LEXINGTON AVENUE,N/A,N/A
1009220008,922,8,1020419,331,351,EAST 15 STREET,N/A,N/A
1008750061,875,61,1078747,126,126,EAST 20 STREET,N/A,N/A
1009230020,923,20,1020436,331,331,EAST 17 STREET,N/A,N/A
1008710039,871,39,1017803,146,154,3 AVENUE,N/A,1021
1008960012,896,12,1019505,225,225,EAST 14 STREET,N/A,N/A
1009210027,921,27,1082155,239,239,1 AVENUE,N/A,N/A
1009230026,923,26,1088177,343,345,EAST 17 STREET,N/A,N/A
1008740068,874,68,1017902,116,116,EAST 19 STREET,N/A,N/A
1009250030,925,30,1020520,353,353,EAST 19 STREET,N/A,N/A
1009240023,924,23,1020482,337,337,EAST 18 STREET,N/A,N/A
1008790070,879,70,1018062,116,124,EAST 24 STREET,N/A,N/A
1009270016,927,16,1020548,325,327,EAST 21 STREET,N/A,N/A
1009037502,903,7502,1019731,381,387,2 AVENUE,148,N/A
1008750053,875,53,1017930,140,146,EAST 20 STREET,N/A,N/A
1008710050,871,50,1017806,140,140,EAST 16 STREET,N/A,N/A
1008750026,875,26,1017916,125,125,EAST 19 STREET,N/A,N/A
1008770074,877,74,1078725,122,126,EAST 22 STREET,N/A,1056
1009250037,925,37,1020524,335,335,1 AVENUE,N/A,N/A
1009240004,924,4,1020464,316,316,2 AVENUE,N/A,N/A
1009250049,925,49,1020534,336,336,EAST 20 STREET,N/A,N/A
1008720053,872,53,1017827,130,130,EAST 17 STREET,N/A,1026
1008960024,896,24,1019515,235,237,2 AVENUE,N/A,N/A
1008810064,881,64,1018121,71,71,LEXINGTON AVENUE,N/A,N/A
1009260038,926,38,1020541,351,355,1 AVENUE,N/A,N/A
1008970043,897,43,1019534,171,171,3 AVENUE,N/A,N/A
1008720051,872,51,1017825,134,134,EAST 17 STREET,N/A,N/A
1009000057,900,57,1084938,241,241,3 AVENUE,N/A,N/A
1008980015,898,15,1019559,221,221,EAST 17 STREET,N/A,N/A
1008980022,898,22,1019563,239,239,EAST 17 STREET,N/A,N/A
1008960023,896,23,1019514,231,233,2 AVENUE,N/A,N/A
1009230017,923,17,1020433,325,325,EAST 17 STREET,N/A,N/A
1009010047,901,47,1019625,222,222,EAST 21 STREET,N/A,N/A
1008740036,874,36,1017881,153,155,EAST 18 STREET,N/A,N/A
1008807502,880,7502,1018085,122,124,EAST 25 STREET,1259,N/A
1009240024,924,24,1020483,339,339,EAST 18 STREET,N/A,N/A
1008710051,871,51,1017807,138,138,EAST 16 STREET,N/A,N/A
1008730059,873,59,1017858,122,122,EAST 18 STREET,N/A,1028
1008830026,883,26,1018172,103,103,LEXINGTON AVENUE,N/A,N/A
1009240030,924,30,1020488,313,313,1 AVENUE,N/A,N/A
1008820076,882,76,1018157,116,120,EAST 27 STREET,N/A,N/A
1009030058,903,58,1019665,297,297,3 AVENUE,N/A,N/A
1009210025,921,25,1077007,349,349,EAST 14 STREET,N/A,N/A
1008740019,874,19,1017870,71,71,IRVING PLACE,N/A,N/A
1009230051,923,51,1020450,324,324,EAST 18 STREET,N/A,N/A
1008830068,883,68,1082099,111,111,LEXINGTON AVENUE,N/A,N/A
1008740062,874,62,1077097,74,74,IRVING PLACE,N/A,N/A
1008710007,871,7,1017789,105,107,EAST 15 STREET,N/A,1016
1008960008,896,8,1019501,207,207,EAST 14 STREET,N/A,N/A
1009240055,924,55,1020504,320,320,EAST 19 STREET,N/A,N/A
1008790060,879,60,1018057,32,36,LEXINGTON AVENUE,N/A,N/A
1009220027,922,27,1082158,344 1/2,344 1/2,EAST 16 STREET,N/A,N/A
1009010058,901,58,1019631,259,259,3 AVENUE,N/A,N/A
1008740033,874,33,1078735,149,149,EAST 18 STREET,N/A,1029
1008980011,898,11,1019556,213,215,EAST 17 STREET,N/A,3268
1009020017,902,17,1077012,223 REAR,223 REAR,EAST 21 STREET,N/A,N/A
1008710016,871,16,1017793,119,119,EAST 15 STREET,N/A,N/A
1009290001,929,1,1084711,331,355,EAST 23 STREET,N/A,1181
1009210019,921,19,1020402,333,345,EAST 14 STREET,N/A,1174
1008980044,898,44,1019572,222,222,EAST 18 STREET,N/A,N/A
1008970050,897,50,1019537,209,209,EAST 16 STREET,N/A,N/A
1008970053,897,53,1019538,211,225,EAST 16 STREET,N/A,N/A
1008960016,896,16,1019509,233,233,EAST 14 STREET,N/A,N/A
1009240002,924,2,1020462,312,312,2 AVENUE,N/A,N/A
1008810031,881,31,1018107,,,BARUCH COLLEGE LIBRARY,N/A,N/A
1008730026,873,26,1017848,131,131,EAST 17 STREET,N/A,N/A
1008770035,877,35,1017996,145,145,EAST 21 STREET,N/A,1052
1009230048,923,48,1020447,330,330,EAST 18 STREET,N/A,N/A
1009247501,924,7501,1078811,326,326,2 AVENUE,676,N/A
1008760025,876,25,1017955,37,37,GRAMERCY PARK EAST,N/A,N/A
1009270055,927,55,1020567,376,380,2 AVENUE,N/A,N/A
1008750013,875,13,1017912,115,115,EAST 19 STREET,N/A,N/A
1008970030,897,30,1019529,208,210,EAST 16 STREET,N/A,N/A
1008740056,874,56,1017894,130,130,EAST 19 STREET,N/A,1031
1009030047,903,47,1019662,212,212,EAST 23 STREET,N/A,N/A
1008790059,879,59,1018056,30,30,LEXINGTON AVENUE,N/A,N/A
1009010056,901,56,1019629,202,204,EAST 21 STREET,N/A,N/A
1008760034,876,34,1017962,248,248,3 AVENUE,N/A,N/A
1009020001,902,1,1019633,263,279,3 AVENUE,N/A,1133
1008980001,898,1,1019551,187,203,3 AVENUE,N/A,1120
1008830054,883,54,1018186,154,156,EAST 28 STREET,N/A,N/A
1008817501,881,7501,1018105,135,135,EAST 25 STREET,704,N/A
1008760031,876,31,1017959,254,254,3 AVENUE,N/A,N/A
1009230054,923,54,1020453,318,318,EAST 18 STREET,N/A,N/A
1009020019,902,19,1019640,227,227,EAST 21 STREET,N/A,N/A
1008960009,896,9,1019502,209,209,EAST 14 STREET,N/A,N/A
1009287504,928,7504,1088559,398,398,2 AVENUE,2204,N/A
1009030031,903,31,1019652,389,389,2 AVENUE,N/A,N/A
1009290038,929,38,1020597,332,342,EAST 24 STREET,N/A,N/A
1008787501,878,7501,1018013,121,125,EAST 22 STREET,2633,N/A
1008820030,882,30,1018134,135,135,EAST 26 STREET,N/A,N/A
1009030032,903,32,1019653,391,391,2 AVENUE,N/A,N/A
1008960010,896,10,1019503,211,213,EAST 14 STREET,N/A,N/A
1009210009,921,9,1020392,313,313,EAST 14 STREET,N/A,N/A
1009210025,921,25,1077008,349 REAR,349 REAR,EAST 14 STREET,N/A,N/A
1008740047,874,47,1017887,146,146,EAST 19 STREET,N/A,N/A
1008730010,873,10,1080798,105,117,EAST 17 STREET,N/A,N/A
1009250038,925,38,1020525,337,337,1 AVENUE,N/A,N/A
1008740016,874,16,1017868,125,125,EAST 18 STREET,N/A,N/A
1008800006,880,6,1018068,105,109,EAST 24 STREET,N/A,N/A
1008710074,871,74,1017816,110,112,EAST 16 STREET,N/A,N/A
1009230058,923,58,1020457,310,310,EAST 18 STREET,N/A,N/A
1008730019,873,19,1017843,127,127,EAST 17 STREET,N/A,1027
1008820031,882,31,1018135,137,139,EAST 26 STREET,N/A,N/A
1008797502,879,7502,1087902,302,316,3 AVENUE,1908,N/A
1008770025,877,25,1017992,127,127,EAST 21 STREET,N/A,1049
1008740014,874,14,1017866,121,121,EAST 18 STREET,N/A,N/A
1008780065,878,65,1018032,115,119,EAST 22 STREET,N/A,N/A
1009020011,902,11,1019635,211,211,EAST 21 STREET,N/A,N/A
1009210011,921,11,1020394,317,317,EAST 14 STREET,N/A,N/A
1009220001,922,1,1020417,,,EAST 15 STREET,N/A,N/A
1009010045,901,45,1019624,224,226,EAST 21 STREET,N/A,N/A
1009287505,928,7505,1086124,385,397,1 AVENUE,2740,N/A
1008970061,897,61,1019540,3,3,RUTHERFORD PLACE,N/A,N/A
1008760018,876,18,1017953,141,149,EAST 20 STREET,N/A,1045
1008820061,882,61,1018152,134,136,EAST 27 STREET,N/A,N/A
1009020031,902,31,1082129,234,238,EAST 22 STREET,N/A,N/A
1009277501,927,7501,1020566,312,314,EAST 22 STREET,937,N/A
1008707501,870,7501,1083247,101,119,EAST 14 STREET,449,N/A
1008780016,878,16,1018014,,,SCHOOL OF THE FUTURE,N/A,N/A
1009210014,921,14,1020397,323,323,EAST 14 STREET,N/A,N/A
1008960001,896,1,1082118,129,129,3 AVENUE,N/A,N/A
1008800024,880,24,1086514,,,W AND A NEWMAN VERTICAL CAMPUS,N/A,N/A
1008710070,871,70,1017815,114,116,EAST 16 STREET,N/A,N/A
1009230043,923,43,1020444,340,342,EAST 18 STREET,N/A,N/A
1008977501,897,7501,1019536,203,207,EAST 16 STREET,1537,N/A
1008820060,882,60,1018151,138,138,EAST 27 STREET,N/A,N/A
1008970060,897,60,1019539,4,4,RUTHERFORD PLACE,N/A,N/A
1009290001,929,1,1084713,330,330,EAST 24 STREET,N/A,1181
1009250141,925,141,1020538,352,352,EAST 20 STREET,N/A,N/A
1009240057,924,57,1020506,316,316,EAST 19 STREET,N/A,N/A
1008990036,899,36,1019592,240,240,EAST 19 STREET,N/A,N/A
1009220022,922,22,1020423,265,265,1 AVENUE,N/A,N/A
1008830078,883,78,1069249,125,127,EAST 27 STREET,N/A,N/A
1009240043,924,43,1020495,344,344,EAST 19 STREET,N/A,N/A
1008830050,883,50,1018183,388,388,3 AVENUE,N/A,N/A
1008970075,897,75,1019550,179,185,3 AVENUE,N/A,N/A
1009210045,921,45,1020410,336,336,EAST 15 STREET,N/A,N/A
1009270021,927,21,1078813,335,335,EAST 21 STREET,N/A,N/A
1009250026,925,26,1020516,345,345,EAST 19 STREET,N/A,1177
1008740061,874,61,1017897,76,76,IRVING PLACE,N/A,N/A
1008750025,875,25,1017915,82,84,IRVING PLACE,N/A,1036
1009030003,903,3,1019650,287,287,3 AVENUE,N/A,N/A
1008830044,883,44,1018177,376,376,3 AVENUE,N/A,N/A
1009230059,923,59,1020458,308,308,EAST 18 STREET,N/A,N/A
1008960020,896,20,1019512,241,241,EAST 14 STREET,N/A,N/A
1008740054,874,54,1017893,132,132,EAST 19 STREET,N/A,1030
1008810062,881,62,1018119,75,75,LEXINGTON AVENUE,N/A,N/A
1009270028,927,28,1020556,367,367,1 AVENUE,N/A,N/A
1008770067,877,67,1018007,132,132,EAST 22 STREET,N/A,1055
1009030033,903,33,1019654,393,393,2 AVENUE,N/A,N/A
1008820088,882,88,1018160,379,379,PARK AVENUE SOUTH,N/A,N/A
1008730035,873,35,1017855,192,192,3 AVENUE,N/A,N/A
1008770052,877,52,1018002,158,158,EAST 22 STREET,N/A,1054
1008740062,874,62,1076148,74 REAR,74 REAR,IRVING PLACE,N/A,N/A
1008730032,873,32,1017852,143,143,EAST 17 STREET,N/A,N/A
1008810001,881,1,1018102,101,101,EAST 25 STREET,N/A,N/A
1008970071,897,71,1019549,206,208,EAST 17 STREET,N/A,N/A
1009000056,900,56,1019607,243,243,3 AVENUE,N/A,N/A
1008830088,883,88,1018203,100,112,EAST 28 STREET,N/A,N/A
1009250050,925,50,1020535,334,334,EAST 20 STREET,N/A,N/A
1009240056,924,56,1020505,318,318,EAST 19 STREET,N/A,N/A
1008747503,874,7503,1017891,136,138,EAST 19 STREET,1115,N/A
1008710030,871,30,1017800,133,133,EAST 15 STREET,N/A,1019
1008960013,896,13,1019506,227,227,EAST 14 STREET,N/A,1112
1008960030,896,30,1083256,238,238,EAST 15 STREET,N/A,N/A
1008730028,873,28,1017850,135,139,EAST 17 STREET,N/A,N/A
1009210006,921,6,1020389,307,307,EAST 14 STREET,N/A,N/A
1009270026,927,26,1020554,363,363,1 AVENUE,N/A,N/A
1009270038,927,38,1020564,320,330,EAST 22 STREET,N/A,N/A
1008800019,880,19,1018071,129,131,EAST 24 STREET,N/A,1058
1008780043,878,43,1018024,296,300,3 AVENUE,N/A,N/A
1008827502,882,7502,1018153,128,132,EAST 27 STREET,2677,N/A
1009270029,927,29,1078815,369 REAR A,369 REAR A,1 AVENUE,N/A,N/A
1008800004,880,4,1018067,329,331,PARK AVENUE SOUTH,N/A,N/A
1009000057,900,57,1019608,239,239,3 AVENUE,N/A,N/A
1008760006,876,6,1017947,100,100,EAST 21 STREET,N/A,N/A
1008790015,879,15,1018039,127,129,EAST 23 STREET,N/A,N/A
1008820059,882,59,1018150,140,140,EAST 27 STREET,N/A,N/A
1009040001,904,1,1082135,301,305,3 AVENUE,N/A,N/A
1009290001,929,1,1084710,309,315,EAST 23 STREET,N/A,1181
1008820033,882,33,1018136,141,143,EAST 26 STREET,N/A,N/A
1009010054,901,54,1019628,206,208,EAST 21 STREET,N/A,N/A
1008740073,874,73,1017905,106,106,EAST 19 STREET,N/A,N/A
1008990021,899,21,1019584,237,237,EAST 18 STREET,N/A,N/A
1008830022,883,22,1018169,104,104,LEXINGTON AVENUE,N/A,N/A
1008720044,872,44,1017823,184,184,3 AVENUE,N/A,N/A
1008800084,880,84,1018088,104,112,EAST 25 STREET,N/A,N/A
1008760011,876,11,1017949,2,2,GRAMERCY PARK WEST,N/A,N/A
1008987501,898,7501,1069344,301,309,2 AVENUE,437,N/A
1008830073,883,73,1018197,114,114,LEXINGTON AVENUE,N/A,N/A
1008830047,883,47,1018180,382,382,3 AVENUE,N/A,N/A
1008980008,898,8,1019553,207,207,EAST 17 STREET,N/A,N/A
1009250012,925,12,1020513,317,337,EAST 19 STREET,N/A,N/A
1008780069,878,69,1080807,110,110,EAST 23 STREET,N/A,N/A
1009210040,921,40,1020407,346,346,EAST 15 STREET,N/A,N/A
1008710054,871,54,1017810,132,132,EAST 16 STREET,N/A,N/A
1008747501,874,7501,1017882,206,206,3 AVENUE,775,N/A
1008710029,871,29,1017799,131,131,EAST 15 STREET,N/A,1018
1009270024,927,24,1020552,341,341,EAST 21 STREET,N/A,N/A
1008797501,879,7501,1087070,119,119,EAST 23 STREET,1445,N/A
1008820018,882,18,1018130,127,127,EAST 26 STREET,N/A,N/A
1009280026,928,26,1078822,339,339,EAST 22 STREET,N/A,N/A
1008790064,879,64,1018059,134,134,EAST 24 STREET,N/A,N/A
1009270124,927,124,1020568,343,343,EAST 21 STREET,N/A,N/A
1008980039,898,39,1019569,228,232,EAST 18 STREET,N/A,1123
1009010001,901,1,1019611,245,245,3 AVENUE,N/A,N/A
1009210015,921,15,1020398,325,325,EAST 14 STREET,N/A,N/A
1008990022,899,22,1019585,239,239,EAST 18 STREET,N/A,1129
1008830065,883,65,1018192,132,132,EAST 28 STREET,N/A,N/A
1008780036,878,36,1018020,284,284,3 AVENUE,N/A,N/A
1008830058,883,58,1018189,138,146,EAST 28 STREET,N/A,1064
1008720052,872,52,1017826,132,132,EAST 17 STREET,N/A,N/A
1009220026,922,26,1020427,277,277,1 AVENUE,N/A,N/A
1008740020,874,20,1017871,72,72,IRVING PLACE,N/A,N/A
1009240021,924,21,1020480,333,333,EAST 18 STREET,N/A,N/A
1008750008,875,8,1017908,105,107,EAST 19 STREET,N/A,1034
1008780008,878,8,1018012,111,113,EAST 22 STREET,N/A,N/A
1009240009,924,9,1020469,309,309,EAST 18 STREET,N/A,N/A
1009230015,923,15,1020431,321,321,EAST 17 STREET,N/A,N/A
1008740026,874,26,1017874,135,135,EAST 18 STREET,N/A,N/A
1009240015,924,15,1020474,321,321,EAST 18 STREET,N/A,N/A
1008720068,872,68,1017833,116,116,EAST 17 STREET,N/A,N/A
1009210017,921,17,1020400,329,329,EAST 14 STREET,N/A,N/A
1008740043,874,43,1017885,218,218,3 AVENUE,N/A,N/A
1008830051,883,51,1018184,390,390,3 AVENUE,N/A,N/A
1008710003,871,3,1080796,104,106,EAST 16 STREET,N/A,N/A
1008750010,875,10,1017909,109,109,EAST 19 STREET,N/A,N/A
1009020012,902,12,1019636,213,213,EAST 21 STREET,N/A,N/A
1008740048,874,48,1017888,144,144,EAST 19 STREET,N/A,N/A
1008780032,878,32,1018017,151,153,EAST 22 STREET,N/A,N/A
1009240052,924,52,1020502,324,326,EAST 19 STREET,N/A,N/A
1008740029,874,29,1017877,141,141,EAST 18 STREET,N/A,N/A
1009030037,903,37,1019657,242,244,EAST 23 STREET,N/A,N/A
1008830019,883,19,1018166,131,131,EAST 27 STREET,N/A,N/A
1008750032,875,32,1017920,135,135,EAST 19 STREET,N/A,N/A
1008720013,872,13,1017821,109,119,EAST 16 STREET,N/A,N/A
1009040001,904,1,1082136,307,307,3 AVENUE,N/A,N/A
1009240031,924,31,1020489,315,315,1 AVENUE,N/A,N/A
1008780042,878,42,1018023,294,294,3 AVENUE,N/A,N/A
1009280026,928,26,1078821,383,383,1 AVENUE,N/A,N/A
1008740057,874,57,1017895,128,128,EAST 19 STREET,N/A,N/A
1009000053,900,53,1019604,208,208,EAST 20 STREET,N/A,N/A
1009250051,925,51,1020536,332,332,EAST 20 STREET,N/A,N/A
1009020024,902,24,1019643,237,239,EAST 21 STREET,N/A,N/A
1008750011,875,11,1017910,111,111,EAST 19 STREET,N/A,N/A
1008970011,897,11,1019525,213,213,EAST 15 STREET,N/A,N/A
1008820036,882,36,1018138,147,149,EAST 26 STREET,N/A,N/A
1008790065,879,65,1018060,132,132,EAST 24 STREET,N/A,N/A
1008790069,879,69,1018061,126,130,EAST 24 STREET,N/A,N/A
1008730061,873,61,1017859,118,118,EAST 18 STREET,N/A,N/A
1008830021,883,21,1018168,102,102,LEXINGTON AVENUE,N/A,N/A
1009250039,925,39,1020526,339,339,1 AVENUE,N/A,N/A
1009280001,928,1,1020569,382,390,2 AVENUE,N/A,1179
1008820038,882,38,1018139,151,151,EAST 26 STREET,N/A,N/A
1008820003,882,3,1018123,103,105,EAST 26 STREET,N/A,N/A
1009210024,921,24,1020403,347,347,EAST 14 STREET,N/A,N/A
1009020018,902,18,1019639,225,225,EAST 21 STREET,N/A,N/A
1008757502,875,7502,1017934,130,130,EAST 20 STREET,2090,N/A
1009230022,923,22,1081662,337,337,EAST 17 STREET,N/A,N/A
1008760012,876,12,1017950,3,3,GRAMERCY PARK WEST,N/A,N/A
1009270009,927,9,1020545,311,317,EAST 21 STREET,N/A,N/A
1008740017,874,17,1017869,67,69,IRVING PLACE,N/A,N/A
1009240044,924,44,1020496,342,342,EAST 19 STREET,N/A,N/A
1009240034,924,34,1081633,325,325,1 AVENUE,N/A,N/A
1008800073,880,73,1018083,130,130,EAST 25 STREET,N/A,N/A
1008820045,882,45,1018143,362,362,3 AVENUE,N/A,N/A
1008820008,882,8,1018124,107,115,EAST 26 STREET,N/A,N/A
1009210043,921,43,1020409,338,340,EAST 15 STREET,N/A,N/A
1008960017,896,17,1019510,235,237,EAST 14 STREET,N/A,N/A
1008730027,873,27,1017849,133,133,EAST 17 STREET,N/A,N/A
1009210051,921,51,1020414,312,326,EAST 15 STREET,N/A,N/A
1008980046,898,46,1019574,218,218,EAST 18 STREET,N/A,N/A
1008810061,881,61,1018118,132,132,EAST 26 STREET,N/A,N/A
1008770074,877,74,1078734,128,130,EAST 22 STREET,N/A,1056
1008830031,883,31,1018175,139,141,EAST 27 STREET,N/A,N/A
1009040029,904,29,1078778,413,413,2 AVENUE,N/A,1136
1008820075,882,75,1018156,122,122,EAST 27 STREET,N/A,N/A
1009250036,925,36,1020523,333,333,1 AVENUE,N/A,N/A
1008820044,882,44,1018142,360,360,3 AVENUE,N/A,N/A
1008730001,873,1,1080799,101,103,EAST 17 STREET,N/A,N/A
1008730036,873,36,1017856,194,194,3 AVENUE,N/A,N/A
1008740027,874,27,1017875,137,137,EAST 18 STREET,N/A,N/A
1008830066,883,66,1018193,,,EAST 28 STREET,N/A,N/A
1009240034,924,34,1078808,321,321,1 AVENUE,N/A,N/A
1008710078,871,78,1017817,108,108,EAST 16 STREET,N/A,N/A
1008987502,898,7502,1087451,231,235,EAST 17 STREET,1676,N/A
1008830055,883,55,1018187,152,152,EAST 28 STREET,N/A,N/A
1009000027,900,27,1019603,329,343,2 AVENUE,N/A,N/A
1009230039,923,39,1020443,344,348,EAST 18 STREET,N/A,N/A
1008830067,883,67,1018194,113,113,LEXINGTON AVENUE,N/A,N/A
1008767502,876,7502,1076149,244,246,3 AVENUE,609,N/A
1009210039,921,39,1020406,348,348,EAST 15 STREET,N/A,N/A
1008790063,879,63,1018058,136,136,EAST 24 STREET,N/A,N/A
1008810029,881,29,1018106,,,BARUCH COLL ANNEX,N/A,N/A
1009240041,924,41,1083089,346,348,EAST 19 STREET,N/A,N/A
